ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
XOM,2021-02-02,bmo,2021-02-01,2021-02-02,2021-02-09,2021-02-17,2021-03-03
XOM,2021-04-30,bmo,2021-04-29,2021-04-30,2021-05-07,2021-05-14,2021-05-28
XOM,2021-07-30,bmo,2021-07-29,2021-07-30,2021-08-06,2021-08-13,2021-08-27
XOM,2021-10-29,bmo,2021-10-28,2021-10-29,2021-11-05,2021-11-12,2021-11-29
XOM,2022-02-01,bmo,2022-01-31,2022-02-01,2022-02-08,2022-02-15,2022-03-02
XOM,2022-04-29,bmo,2022-04-28,2022-04-29,2022-05-06,2022-05-13,2022-05-27
XOM,2022-07-29,bmo,2022-07-28,2022-07-29,2022-08-05,2022-08-12,2022-08-26
XOM,2022-10-28,bmo,2022-10-27,2022-10-28,2022-11-04,2022-11-11,2022-11-28
XOM,2023-01-31,bmo,2023-01-30,2023-01-31,2023-02-07,2023-02-14,2023-03-01
XOM,2023-04-28,bmo,2023-04-27,2023-04-28,2023-05-05,2023-05-12,2023-05-26
XOM,2023-07-28,bmo,2023-07-27,2023-07-28,2023-08-04,2023-08-11,2023-08-25
XOM,2023-10-27,bmo,2023-10-26,2023-10-27,2023-11-03,2023-11-10,2023-11-27
XOM,2024-02-02,bmo,2024-02-01,2024-02-02,2024-02-09,2024-02-16,2024-03-04
XOM,2024-04-26,bmo,2024-04-25,2024-04-26,2024-05-03,2024-05-10,2024-05-24
XOM,2024-08-02,bmo,2024-08-01,2024-08-02,2024-08-09,2024-08-16,2024-08-30
XOM,2024-11-01,bmo,2024-10-31,2024-11-01,2024-11-08,2024-11-15,2024-12-02
XOM,2025-01-31,bmo,2025-01-30,2025-01-31,2025-02-07,2025-02-14,2025-03-03
XOM,2025-05-02,bmo,2025-05-01,2025-05-02,2025-05-09,2025-05-16,2025-06-02
XOM,2025-08-01,bmo,2025-07-31,2025-08-01,2025-08-08,2025-08-15,2025-08-29
XOM,2025-10-31,bmo,2025-10-30,2025-10-31,2025-11-07,2025-11-14,2025-12-01
