ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
AAPL,2021-01-27,amc,2021-01-27,2021-01-28,2021-02-04,2021-02-11,2021-02-26
AAPL,2021-04-28,amc,2021-04-28,2021-04-29,2021-05-06,2021-05-13,2021-05-27
AAPL,2021-07-27,amc,2021-07-27,2021-07-28,2021-08-04,2021-08-11,2021-08-25
AAPL,2021-10-28,amc,2021-10-28,2021-10-29,2021-11-05,2021-11-12,2021-11-29
AAPL,2022-01-27,amc,2022-01-27,2022-01-28,2022-02-04,2022-02-11,2022-02-28
AAPL,2022-04-28,amc,2022-04-28,2022-04-29,2022-05-06,2022-05-13,2022-05-27
AAPL,2022-07-28,amc,2022-07-28,2022-07-29,2022-08-05,2022-08-12,2022-08-26
AAPL,2022-10-27,amc,2022-10-27,2022-10-28,2022-11-04,2022-11-11,2022-11-28
AAPL,2023-02-02,amc,2023-02-02,2023-02-03,2023-02-10,2023-02-17,2023-03-06
AAPL,2023-05-04,amc,2023-05-04,2023-05-05,2023-05-12,2023-05-19,2023-06-05
AAPL,2023-08-03,amc,2023-08-03,2023-08-04,2023-08-11,2023-08-18,2023-09-01
AAPL,2023-11-02,amc,2023-11-02,2023-11-03,2023-11-10,2023-11-17,2023-12-04
AAPL,2024-02-01,amc,2024-02-01,2024-02-02,2024-02-09,2024-02-16,2024-03-04
AAPL,2024-05-02,amc,2024-05-02,2024-05-03,2024-05-10,2024-05-17,2024-06-03
AAPL,2024-08-01,amc,2024-08-01,2024-08-02,2024-08-09,2024-08-16,2024-08-30
AAPL,2024-10-31,amc,2024-10-31,2024-11-01,2024-11-08,2024-11-15,2024-12-02
AAPL,2025-01-30,amc,2025-01-30,2025-01-31,2025-02-07,2025-02-14,2025-03-03
AAPL,2025-05-01,amc,2025-05-01,2025-05-02,2025-05-09,2025-05-16,2025-06-02
AAPL,2025-07-31,amc,2025-07-31,2025-08-01,2025-08-08,2025-08-15,2025-08-29
AAPL,2025-10-30,amc,2025-10-30,2025-10-31,2025-11-07,2025-11-14,2025-12-01
