ticker,earnings_date,announce_timing,pre_date,react_date,d5,d10,d20
MU,2021-01-07,amc,2021-01-07,2021-01-08,2021-01-15,2021-01-25,2021-02-08
MU,2021-03-31,amc,2021-03-31,2021-04-01,2021-04-09,2021-04-16,2021-04-30
MU,2021-06-30,amc,2021-06-30,2021-07-01,2021-07-09,2021-07-16,2021-07-30
MU,2021-09-28,amc,2021-09-28,2021-09-29,2021-10-06,2021-10-13,2021-10-27
MU,2021-12-20,amc,2021-12-20,2021-12-21,2021-12-29,2022-01-05,2022-01-20
MU,2022-03-29,amc,2022-03-29,2022-03-30,2022-04-06,2022-04-13,2022-04-28
MU,2022-06-30,amc,2022-06-30,2022-07-01,2022-07-11,2022-07-18,2022-08-01
MU,2022-09-29,amc,2022-09-29,2022-09-30,2022-10-07,2022-10-14,2022-10-28
MU,2022-12-21,amc,2022-12-21,2022-12-22,2022-12-30,2023-01-09,2023-01-24
MU,2023-03-28,amc,2023-03-28,2023-03-29,2023-04-05,2023-04-13,2023-04-27
MU,2023-06-28,amc,2023-06-28,2023-06-29,2023-07-07,2023-07-14,2023-07-28
MU,2023-09-27,amc,2023-09-27,2023-09-28,2023-10-05,2023-10-12,2023-10-26
MU,2023-12-20,amc,2023-12-20,2023-12-21,2023-12-29,2024-01-08,2024-01-23
MU,2024-03-20,amc,2024-03-20,2024-03-21,2024-03-28,2024-04-05,2024-04-19
MU,2024-06-26,amc,2024-06-26,2024-06-27,2024-07-05,2024-07-12,2024-07-26
MU,2024-09-25,amc,2024-09-25,2024-09-26,2024-10-03,2024-10-10,2024-10-24
MU,2024-12-18,amc,2024-12-18,2024-12-19,2024-12-27,2025-01-06,2025-01-22
MU,2025-03-20,amc,2025-03-20,2025-03-21,2025-03-28,2025-04-04,2025-04-21
MU,2025-06-25,amc,2025-06-25,2025-06-26,2025-07-03,2025-07-11,2025-07-25
MU,2025-09-23,amc,2025-09-23,2025-09-24,2025-10-01,2025-10-08,2025-10-22
MU,2025-12-17,amc,2025-12-17,2025-12-18,2025-12-26,2025-12-31,2025-12-31
